eps,min_samples,n_clusters,n_noise,noise_pct,silhouette_non_noise,davies_bouldin_non_noise
0.3,2,0,25,100.0,,
0.3,3,0,25,100.0,,
0.3,4,0,25,100.0,,
0.3,5,0,25,100.0,,
0.5,2,3,17,68.0,0.48854059218132434,0.5269718387344481
0.5,3,1,21,84.0,,
0.5,4,0,25,100.0,,
0.5,5,0,25,100.0,,
0.7,2,4,12,48.0,0.3451608620637714,0.7130867582227634
0.7,3,1,18,72.0,,
0.7,4,1,20,80.0,,
0.7,5,0,25,100.0,,
1.0,2,2,11,44.0,0.6355032081715404,0.44751435752045643
1.0,3,2,11,44.0,0.6355032081715404,0.44751435752045643
1.0,4,1,14,56.0,,
1.0,5,1,15,60.0,,
1.3,2,1,4,16.0,,
1.3,3,1,4,16.0,,
1.3,4,1,4,16.0,,
1.3,5,1,7,28.0,,
1.6,2,1,3,12.0,,
1.6,3,1,3,12.0,,
1.6,4,1,3,12.0,,
1.6,5,1,3,12.0,,
