K,init,n_init,inertia,silhouette,davies_bouldin
2,k-means++,10,66.38434912666855,0.3817436869014277,1.0629865314792502
2,k-means++,20,65.96335886634215,0.3738322919758497,1.0975400023504875
2,k-means++,30,65.96335886634216,0.3738322919758497,1.0975400023504875
2,random,10,65.96335886634216,0.3738322919758497,1.0975400023504875
2,random,20,65.96335886634215,0.3738322919758497,1.0975400023504875
2,random,30,65.96335886634216,0.3738322919758497,1.0975400023504875
3,k-means++,10,43.339980463919275,0.40561014137649715,0.7639591307027495
3,k-means++,20,43.339980463919275,0.40561014137649715,0.7639591307027495
3,k-means++,30,43.339980463919275,0.40561014137649715,0.7639591307027495
3,random,10,43.339980463919275,0.40561014137649715,0.7639591307027495
3,random,20,43.339980463919275,0.40561014137649715,0.7639591307027495
3,random,30,43.339980463919275,0.40561014137649715,0.7639591307027495
4,k-means++,10,32.532927188469344,0.395106790544691,0.5810702314177237
4,k-means++,20,32.532927188469344,0.395106790544691,0.5810702314177237
4,k-means++,30,32.532927188469344,0.395106790544691,0.5810702314177237
4,random,10,32.532927188469344,0.395106790544691,0.5810702314177236
4,random,20,32.532927188469344,0.395106790544691,0.5810702314177236
4,random,30,32.532927188469344,0.395106790544691,0.5810702314177236
5,k-means++,10,23.473713058123696,0.2695197218751995,0.7200477446351125
5,k-means++,20,23.239107016982405,0.26869069901239084,0.7207307161605014
5,k-means++,30,23.239107016982405,0.26869069901239084,0.7207307161605014
5,random,10,24.26937708279681,0.2446064022830443,0.700503894194122
5,random,20,23.837504080488163,0.271071648111647,0.7232962196839499
5,random,30,23.837504080488163,0.271071648111647,0.7232962196839499
6,k-means++,10,18.148667196317348,0.25191288939297324,0.7031310833153511
6,k-means++,20,18.148667196317348,0.25191288939297324,0.7031310833153511
6,k-means++,30,18.148667196317348,0.25191288939297324,0.7031310833153511
6,random,10,20.99088298783397,0.18224303379697865,0.7810934659031824
6,random,20,19.533483987490733,0.2172990042891597,0.8636755791854366
6,random,30,18.233371634145414,0.26219720546635467,0.6313266148890786
7,k-means++,10,14.59465378943706,0.24468991343905105,0.6608072962001234
7,k-means++,20,14.01345928595835,0.25996034361439696,0.6051576164556011
7,k-means++,30,14.01345928595835,0.25996034361439696,0.6051576164556011
7,random,10,15.868710021967008,0.19411859547312701,0.8552233609660137
7,random,20,15.761355640937897,0.21986659960636978,0.8115053423615907
7,random,30,15.129672553830769,0.24938746547211055,0.6930645032603123
8,k-means++,10,12.58034092286086,0.23973334052965065,0.7062390737454403
8,k-means++,20,12.043545893635219,0.22027300983639672,0.7364292450695622
8,k-means++,30,12.043545893635217,0.22027300983639672,0.7364292450695622
8,random,10,11.799275139463537,0.21689457548519692,0.7538950675639502
8,random,20,11.6261477305789,0.2287055917708979,0.7045236047595199
8,random,30,11.6261477305789,0.2287055917708979,0.7045236047595199
